task	train	eval	split	family	auroc	auprc	n_sites	pos_rate	auroc_base	auprc_base	n_sites_base	pos_rate_base	d_auroc	d_auprc
methylation_k	rebuilt	rebuilt	2	esm2_perm	0.7877	0.5066	9639	0.1621	0.7986	0.5166	9639	0.1621	-0.0109	-0.0100
methylation_k	rebuilt	replica	2	esm2_perm	0.7724	0.6682	4431	0.3525	0.7754	0.6611	4431	0.3525	-0.0030	0.0070
methylation_k	rebuilt	rebuilt	2	interaction_perm	0.7838	0.4937	9639	0.1621	0.7986	0.5166	9639	0.1621	-0.0149	-0.0229
methylation_k	rebuilt	replica	2	interaction_perm	0.7633	0.6672	4431	0.3525	0.7754	0.6611	4431	0.3525	-0.0121	0.0060
methylation_k	rebuilt	rebuilt	2	prott5_perm	0.7860	0.4998	9639	0.1621	0.7986	0.5166	9639	0.1621	-0.0126	-0.0168
methylation_k	rebuilt	replica	2	prott5_perm	0.7756	0.6678	4431	0.3525	0.7754	0.6611	4431	0.3525	0.0002	0.0066
methylation_k	replica	rebuilt	0	esm2	0.4667	0.1591	9669	0.1700	0.7333	0.3889	9669	0.1700	-0.2665	-0.2298
methylation_k	replica	replica	0	esm2	0.8869	0.8027	5628	0.2921	0.7775	0.6009	5628	0.2921	0.1093	0.2018
methylation_k	replica	rebuilt	0	interaction	0.4676	0.1573	9669	0.1700	0.7333	0.3889	9669	0.1700	-0.2657	-0.2317
methylation_k	replica	replica	0	interaction	0.6805	0.4358	5628	0.2921	0.7775	0.6009	5628	0.2921	-0.0970	-0.1650
methylation_k	replica	rebuilt	0	prott5	0.4592	0.1604	9669	0.1700	0.7333	0.3889	9669	0.1700	-0.2740	-0.2285
methylation_k	replica	replica	0	prott5	0.7983	0.6414	5628	0.2921	0.7775	0.6009	5628	0.2921	0.0208	0.0405
methylation_k	replica	rebuilt	1	esm2	0.4967	0.1679	9257	0.1583	0.7308	0.3944	9257	0.1583	-0.2341	-0.2264
methylation_k	replica	replica	1	esm2	0.8127	0.7022	3867	0.3788	0.7709	0.6985	3867	0.3788	0.0418	0.0037
methylation_k	replica	rebuilt	1	interaction	0.4830	0.1516	9257	0.1583	0.7308	0.3944	9257	0.1583	-0.2479	-0.2428
methylation_k	replica	replica	1	interaction	0.6550	0.5164	3867	0.3788	0.7709	0.6985	3867	0.3788	-0.1159	-0.1821
methylation_k	replica	rebuilt	1	prott5	0.5098	0.1666	9257	0.1583	0.7308	0.3944	9257	0.1583	-0.2210	-0.2277
